keyword,entry_salary,mid_salary,senior_salary,roadmap,entrance_exams,backup_options,career_outcomes
finance master,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
finance diploma,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
finance honours,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
marketing bachelor,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
marketing master,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
marketing diploma,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
marketing honours,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
human resource bachelor,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
human resource master,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
human resource diploma,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
human resource honours,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
accounts bachelor,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
accounts master,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
accounts diploma,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
accounts honours,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
entrepreneurship bachelor,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
entrepreneurship master,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
entrepreneurship diploma,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
entrepreneurship honours,₹3 – 6 LPA,₹8 – 18 LPA,₹25+ LPA,Learn Business Basics|Intern in Company|Develop Leadership|MBA Specialization,CUET|IPMAT,B.Com|BBA,Business Analyst|Marketing Manager|Entrepreneur
